Aleksandr I;pdrPo.001.004.000000061
Aleksandr II;pdrPo.001.004.000000062
Aleksandr II;pdrPo.001.004.000000062
Alexandros III;pdrPo.001.004.000010042
Allen;pdrPo.001.004.000000078
Applegarth;pdrPo.001.004.000000132
Augustus;pdrPo.001.004.000010106
Barnett;ed_qxn_5tn_xx
Barthels,Bruder v.R.;
Barthels,Carl;pdrPo.001.004.000000266
Barthels,Robert;ed_fzq_5lg_yx
Bates;pdrPo.001.004.000000276
Bauer,Edgar;pdrPo.001.004.000000282
Baumer;ed_jr1_2mg_yx
Beales;pdrPo.001.004.000000296
Bebel,A.;pdrPo.001.004.000000303
Becker;pdrPo.001.004.000000317
Becker, J.Ph.;pdrPo.001.004.000000317
Becker,B.;pdrPo.001.004.000000311
Beesly;pdrPo.001.004.000000329
Beethoven;pdrPo.001.004.000000330
Bender;pdrPo.001.004.000000354
Benedek;pdrPo.001.004.000000355
Bennigsen;pdrPo.001.004.000000359
Bettziech/Betzig;pdrPo.001.004.000000408
Birch;ed_u5b_vvg_yx
Bismarck;pdrPo.001.004.000000441
Blanc,Louis;pdrPo.001.004.000000447
Blank, Marie, sen.;pdrPo.001.004.000000460
Blank,Emil;
Blank,Marie;pdrPo.001.004.000000460
Blank,Marie,jun.;pdrPo.001.004.000000459
Blind;
Blumrath,Pet.;ed_k4d_wch_yx
Bobczyski;pdrPo.001.004.000000484
Boelling, Hedwig, jun.;ed_fh3_2nh_yx
Boelling, Hedwig, sen.;pdrPo.001.004.000000502
Boelling,Fritz;pdrPo.001.004.000000501
Boelling,Hedwig;pdrPo.001.004.000000502
Boellings;
Bolleter;pdrPo.001.004.000000516
Bonaparte, N.J.J.Ch.P.;pdrPo.001.004.000000523
Booker;d_ykf_pvh_yx
Borkheim;pdrPo.001.004.000000542
Borkheim,F.;pdrPo.001.004.000010218
Borkheim,H.;pdrPo.001.004.000000541
Bowring;pdrPo.001.004.000000571
Bradlaugh;ed_d1d_4wh_yx
Braun;
Braß;pdrPo.001.004.000000586
Bridges;ed_vgr_vwh_yx
Bright;pdrPo.001.004.000000612
Brockhaus;pdrPo.001.004.000000618
Brown;
Bruhn;pdrPo.001.004.000000639
Bucher;pdrPo.001.004.000000648
Burkhard;pdrPo.001.004.000000692
Burns,L.;pdrPo.001.004.000000698
Büchner;pdrPo.001.004.000000656
Bürgers;
Calypso/Kalypso;
Canessa;ed_ty1_254_yx
Carpenter;ed_ssj_zc4_1z
Carrère;
Carter;pdrPo.001.004.000000814
Caub;ed_ukb_bcw_yx
Cax;ed_adl_3cw_yx
"Charteris;Elcho,Lord";ed_vfr_yqq_bz
Chassepot;ed_kcn_2dw_yx
Chaucer;ed_ohm_ndw_yx
Clarendon;ed_gpx_q2w_yx
Classen-Kappelmann;pdrPo.001.004.000000915
Cohen;pdrPo.001.004.000010355
Cohen,Ferd.;pdrPo.001.004.000000948
Comte, Aug.;pdrPo.001.004.000000964
Corraz;ed_iwz_kby_bz
Coullery;pdrPo.001.004.000001010
Coulson;pdrPo.001.004.000001012
Cremer;
Cremer/Creamer;pdrPo.001.004.000001027
Cremer/Crämer;
Crespelle;ed_glf_vsn_cz
Cuvier;pdrPo.001.004.000001060
Darwin;pdrPo.001.004.000001091
Davies;pdrPo.001.004.000001105
De Paepe;pdrPo.001.004.000001133
Dell;pdrPo.001.004.000001124
Demuth;pdrPo.001.004.000001129
Demuth,H.;pdrPo.001.004.000001129
Denis;ed_rmt_wjt_cz
Denis, H.;ed_spq_z4d_zx
Dennys;ed_dvn_npd_zx
Dido;
Dietz,Oswald;pdrPo.001.004.000001157
Disraeli;pdrPo.001.004.000001166
Disraeli/D'Israeli;pdrPo.001.004.000001166
Dronke;
Duchiski/Duchinski;pdrPo.001.004.000001232
Duncker;
Duncker,Geheimrat;
Dupleix;pdrPo.001.004.000001278
Dupont;pdrPo.001.004.000001279
Dönniges;
Dörseln,A.;ed_wbw_xvj_zx
Dültgen;ed_gq2_kwj_zx
Eccarius;pdrPo.001.004.000001296
Eccarius, Frau;pdrPo.001.004.000010455
Eccarius,Frau;pdrPo.001.004.000010455
Eckardt;
Eckardt,Ludwig;pdrPo.001.004.000001300
Eichhoff;
Enfantin;pdrPo.001.004.000001350
Enfield;
Engels, Hermann;pdrPo.001.004.000001375
Engels, Rudolf;pdrPo.001.004.000001391
Engels,E.;pdrPo.001.004.000001367
Engels,Emil;pdrPo.001.004.000001368
Engels,F.sen;pdrPo.001.004.000001372
Engels,Friedrich, & Co.;
Engels,Hermann;pdrPo.001.004.000001375
Engels,Rudolf;pdrPo.001.004.000001391
Engels,Rudolf/Rudolph;pdrPo.001.004.000001391
Engels,emil;
Ermen & Engels;
Ermen & Engels, Barmen;ed_byw_vjh_1z
Ermen & Engels, Manchester;ed_mtd_tkh_1z
Ermen & Engels,Barmen;ed_byw_vjh_1z
Ermen,G.;
Ermen,P.;
Eulenburg;pdrPo.001.004.000001443
Fabius_Quintilianus,Marcus;pdrPo.001.004.000010511
Falkenstein;ed_a3p_plj_dy
Faucher;pdrPo.001.004.000001474
Favre;
Fazy;pdrPo.001.004.000001482
Fellner;ed_zpc_5nd_2y
Fischer;pdrPo.001.004.000001544
Fontana;pdrPo.001.004.000001576
Fourier;pdrPo.001.004.000001600
Fowler;ed_env_l1f_2y
Fox;
Franz Joseph I;pdrPo.001.004.000001622
Freiligrath;pdrPo.001.004.000001631
Freiligrath,Katharina,geb.1845;pdrPo.001.004.000001634
Frenzel;ed_etn_vts_2y
Fribourg;pdrPo.001.004.000001654
Friedrich Karl;pdrPo.001.004.000001664
Friedrich Wilhelm IV;pdrPo.001.004.000001669
Funke;pdrPo.001.004.000010602
Funke,R., & Co.;pdrPo.001.004.000010602
Gablenz;
Gablenz,Ludwig,Frhr_v.;ed_kvh_jmc_3y
Gammage;pdrPo.001.004.000001706
Garibaldi;
Gercen;pdrPo.001.004.000001761
Gladstone;pdrPo.001.004.000001797
Glais-Bizoin;ed_p32_vg3_3y
Goltz;
Goodbun;
Gottraux,G.;
Gounod;ed_c1h_nnp_3y
Grach;pdrPo.001.004.000001864
Greeff, Peter;ed_zvm_2gv_my
Greening;pdrPo.001.004.000010657
Greif;pdrPo.001.004.000001893
Griesheim, Alberth;pdrPo.001.004.000001906
Griesheim,Adolf;
Griesheim,Elise;pdrPo.001.004.000001910
Griesheim,Gustav;pdrPo.001.004.000001914
Griesheim,Kinder v. Albert;
Groneweg,LudwigWilhelm;ed_k3c_f4c_ny
