Albert F. Haufe;ed_fnn_3qj_wx
Arnold Hilberg’s Verlag;ed_zmj_ltj_wx
Arthur Miall;ed_z5s_ptj_wx
Asher & Co.;pdrPo.001.015.000090013
August Schlag;ed_cbz_fkp_wx
August Vogt;pdrPo.001.004.000004960
Carl Hoßfeld;ed_ohr_wh2_sy
Carl Klein;pdrPo.001.004.000002522
Carl Rode;pdrPo.001.004.000011456
Cesare Orsini;ed_erg_rjw_wx
Charles Durham;pdrPo.001.004.000001286
Chris. Kay;ed_z4m_fpd_xx
Collet Dobson Collet;pdrPo.001.004.000000956
César De Paepe;pdrPo.001.004.000001133
Edwin Shelley Mantz;ed_lxb_zn2_sy
Eleanor Marx;pdrPo.001.004.000003068
Elisabeth Engels;pdrPo.001.004.000001366
Emil Engels;pdrPo.001.004.000001368
Ernest Jones;pdrPo.001.004.000002387
Eugène Dupont;pdrPo.001.004.000001279
Familie Marx;ed_ats_ysj_wx / pdrPo.001.004.000003075 / pdrPo.001.004.000003074
Ferdinand Freiligrath;pdrPo.001.004.000001631
Ferdinand Freiligrath ;pdrPo.001.004.000001631
François Lafargue;ed_z11_fcw_wx
Friedrich Engels;ed_eyg_crj_sx
Friedrich Leßner;pdrPo.001.004.000002790
Friedrich Wilhelm Moll;ed_ksb_ssd_xx
Henry Morrell Acton;ed_xxq_cbf_sy
Hermann Engels;pdrPo.001.004.000001375
Hermann Jung;pdrPo.001.004.000002417
Jenny Marx;pdrPo.001.004.000003075
Jenny Marx (Tochter);pdrPo.001.004.000003074
Johann Georg Eccarius;pdrPo.001.004.000001296
Johann Philipp Becker;pdrPo.001.004.000000317
John Weston;pdrPo.001.004.000005083
Julius Allmann;ed_z4m_rp2_xx
Karl Kaub;pdrPo.001.004.000002460
Karl Marx;ed_ats_ysj_wx
Karl Marx und/oder Jenny Marx;ed_ats_ysj_wx / pdrPo.001.004.000003075
Laura Marx;pdrPo.001.004.000003076
Louis Kugelmann;pdrPo.001.004.000002616
Nanette Philips;pdrPo.001.004.000003718
Otto Meißner;pdrPo.001.004.000003135
Paul Lafargue;pdrPo.001.004.000002648
Paul Stumpf;pdrPo.001.004.000004646
Peter Fox André;pdrPo.001.004.000001603
Peter Imandt;pdrPo.001.004.000002303
Ph. K. Theobald;pdrPo.001.004.000004729
Richard Reinhardt;ed_pd5_4ll_xx
Robert Applegarth;pdrPo.001.004.000000132
Rudolph Bredt;ed_pj3_wnl_xx
S. Nördlinger;ed_q1x_tqj_sx
Sigfrid Meyer;pdrPo.001.004.000003187
Sigismund Ludwig Borkheim;pdrPo.001.004.000000542
W. Cripps;pdrPo.001.004.000001032
Wilhelm Liebknecht;pdrPo.001.004.000002822
William Randall Cremer;pdrPo.001.004.000001027
